labels,name
bacnet,description
bacnet,object-identifier
bacnet,object-name
bacnet,object-type
bacnet,objectOf
skos,broader
skos,narrower
vcard,hasAddress
ref,bacnet-read-property
ref,BACnetURI
ref,hasExternalReference
ref,hasIfcProjectReference
ref,hasTimeseriesId
ref,hasTimeseriesReference
ref,ifcFileLocation
ref,ifcGlobalID
ref,ifcName
ref,ifcProjectID
ref,preferred
ref,storedAt
brick,aggregate
brick,aggregationFunction
brick,aggregationInterval
brick,ambientTemperatureOfMeasurement
brick,area
brick,azimuth
brick,buildingPrimaryFunction
brick,buildingThermalTransmittance
brick,connectedTo
brick,conversionEfficiency
brick,coolingCapacity
brick,coordinates
brick,currentFlowType
brick,deprecatedInVersion
brick,deprecation
brick,deprecationMitigationMessage
brick,deprecationMitigationRule
brick,electricalComplexPower
brick,electricalFlow
brick,electricalPhaseCount
brick,electricalPhases
brick,electricVehicleChargerDirectionality
brick,electricVehicleChargerType
brick,electricVehicleConnectorType
brick,feeds
brick,grossArea
brick,hasAmbientTemperature
brick,hasAssociatedTag
brick,hasInputSubstance
brick,hasLocation
brick,hasOutputSubstance
brick,hasPart
brick,hasPoint
brick,hasQuantity
brick,hasQUDTReference
brick,hasSubMeter
brick,hasSubstance
brick,hasTag
brick,hasUnit
brick,isAssociatedWith
brick,isFedBy
brick,isLocationOf
brick,isMeteredBy
brick,isPartOf
brick,isPointOf
brick,isReplacedBy
brick,isSubMeterOf
brick,isTagOf
brick,isVirtualMeter
brick,lastKnownValue
brick,latitude
brick,longitude
brick,measuredModuleConversionEfficiency
brick,measuredPowerInput
brick,measuredPowerOutput
brick,meters
brick,netArea
brick,operationalStage
brick,operationalStageCount
brick,panelArea
brick,Quantity
brick,ratedCurrentInput
brick,ratedCurrentOutput
brick,ratedMaximumCurrentInput
brick,ratedMaximumCurrentOutput
brick,ratedMaximumVoltageInput
brick,ratedMaximumVoltageOutput
brick,ratedMinimumCurrentInput
brick,ratedMinimumCurrentOutput
brick,ratedMinimumVoltageInput
brick,ratedMinimumVoltageOutput
brick,ratedModuleConversionEfficiency
brick,ratedPowerInput
brick,ratedPowerOutput
brick,ratedVoltageInput
brick,ratedVoltageOutput
brick,Relationship
brick,temperatureCoefficientofPmax
brick,thermalTransmittance
brick,tilt
brick,timestamp
brick,value
brick,volume
brick,yearBuilt
rec,acknowledgedBy
rec,acknowledgedTime
rec,address
rec,addressLine1
rec,addressLine2
rec,adjacentElement
rec,architectedBy
rec,area
rec,assetTag
rec,batteryPercentage
rec,capacity
rec,city
rec,closedBy
rec,closedTime
rec,commissionedBy
rec,commissioningDate
rec,constructedBy
rec,containsElement
rec,coordinates
rec,coordinateSystem
rec,country
rec,createdBy
rec,createdTime
rec,currentLevel
rec,documentation
rec,documentTopic
rec,end
rec,endLevel
rec,familyName
rec,gender
rec,generation
rec,georeference
rec,givenName
rec,grossArea
rec,hasMember
rec,hasPart
rec,hasPoint
rec,heightRUs
rec,heightScaleFactor
rec,image
rec,includes
rec,initialCost
rec,installationDate
rec,installedBy
rec,intersectingElement
rec,IPAddress
rec,isFedBy
rec,isLocationOf
rec,isMemberOf
rec,isPartOf
rec,leasee
rec,leaseOf
rec,leasor
rec,levelNumber
rec,locatedIn
rec,logo
rec,MACAddress
rec,maintenanceInterval
rec,manufacturedBy
rec,maxOccupancy
rec,modelNumber
rec,mountedOn
rec,netArea
rec,numberOfPorts
rec,objectOfInterest
rec,operatedBy
rec,originX
rec,originY
rec,ownedBy
rec,owns
rec,poeType
rec,portSpeed
rec,postalCode
rec,producedBy
rec,region
rec,regulatedBy
rec,regulates
rec,relatedTo
rec,rentableArea
rec,seatingCapacity
rec,serialNumber
rec,servicedBy
rec,severity
rec,sourcePoint
rec,standard
rec,start
rec,startLevel
rec,status
rec,substance
rec,targetPoint
rec,timestamp
rec,tripDirection
rec,turnoverDate
rec,url
rec,value
rec,weight
rec,widthScaleFactor
rec,wifiSignalStrength
rec,xRotationalScaleFactor
rec,yRotationalScaleFactor
